"Zaman","DesarjMw","SarjMw","KalanMwh","GerilimMv","PrizdeMi","DesarjEdiyor"
"2026-09-19T18:11:35.6368800+03:00","27439","0","37951","11607","False","True"
"2026-09-19T18:11:36.6636756+03:00","27713","0","37951","11723","False","True"
"2026-09-19T18:11:37.6839644+03:00","26283","0","37939","11723","False","True"
"2026-09-19T18:11:38.7009627+03:00","26227","0","37939","11698","False","True"
"2026-09-19T18:11:39.7295580+03:00","19933","0","37939","11698","False","True"
"2026-09-19T18:11:40.7623339+03:00","19937","0","37928","11700","False","True"
"2026-09-19T18:11:41.7884403+03:00","19937","0","37928","11700","False","True"
"2026-09-19T18:11:42.8087498+03:00","18953","0","37916","11721","False","True"
"2026-09-19T18:11:43.8286950+03:00","18953","0","37916","11721","False","True"
"2026-09-19T18:11:44.8460916+03:00","23263","0","37894","11488","False","True"
"2026-09-19T18:11:45.8786273+03:00","23263","0","37894","11488","False","True"
"2026-09-19T18:11:46.8911864+03:00","19254","0","37882","11488","False","True"
"2026-09-19T18:11:47.9072290+03:00","19574","0","37882","11679","False","True"
"2026-09-19T18:11:48.9304542+03:00","22704","0","37871","11679","False","True"
"2026-09-19T18:11:49.9606672+03:00","22698","0","37871","11676","False","True"
"2026-09-19T18:11:50.9844487+03:00","19347","0","37859","11676","False","True"
"2026-09-19T18:11:51.9948397+03:00","19302","0","37859","11649","False","True"
"2026-09-19T18:11:53.0594925+03:00","20432","0","37848","11649","False","True"
"2026-09-19T18:11:54.0782392+03:00","20460","0","37848","11665","False","True"
"2026-09-19T18:11:55.0992349+03:00","20519","0","37837","11665","False","True"
"2026-09-19T18:11:56.1310969+03:00","20484","0","37837","11645","False","True"
"2026-09-19T18:11:57.1493181+03:00","20484","0","37837","11645","False","True"
"2026-09-19T18:11:58.1654455+03:00","19111","0","37825","11653","False","True"
"2026-09-19T18:11:59.1856723+03:00","19111","0","37825","11653","False","True"
"2026-09-19T18:12:00.2114264+03:00","20781","0","37814","11701","False","True"
"2026-09-19T18:12:01.2381783+03:00","20781","0","37814","11701","False","True"
"2026-09-19T18:12:02.2605919+03:00","19260","0","37802","11701","False","True"
"2026-09-19T18:12:03.2774696+03:00","19276","0","37802","11711","False","True"
"2026-09-19T18:12:04.3004520+03:00","20752","0","37780","11711","False","True"
"2026-09-19T18:12:05.3123396+03:00","20757","0","37780","11714","False","True"
"2026-09-19T18:12:06.3387277+03:00","19117","0","37768","11714","False","True"
"2026-09-19T18:12:07.3706010+03:00","19098","0","37768","11702","False","True"
"2026-09-19T18:12:08.4254696+03:00","24445","0","37757","11702","False","True"
"2026-09-19T18:12:09.4788635+03:00","24328","0","37757","11646","False","True"
"2026-09-19T18:12:10.5351898+03:00","22617","0","37745","11646","False","True"
"2026-09-19T18:12:11.5942378+03:00","22704","0","37745","11691","False","True"
"2026-09-19T18:12:12.6447358+03:00","20518","0","37745","11691","False","True"
"2026-09-19T18:12:13.7004745+03:00","20519","0","37734","11692","False","True"
"2026-09-19T18:12:14.7560574+03:00","20519","0","37734","11692","False","True"
"2026-09-19T18:12:15.8104213+03:00","18887","0","37723","11695","False","True"
"2026-09-19T18:12:16.8649620+03:00","18887","0","37723","11695","False","True"
"2026-09-19T18:12:17.9217867+03:00","21106","0","37711","11648","False","True"
"2026-09-19T18:12:19.0017115+03:00","21106","0","37711","11648","False","True"
"2026-09-19T18:12:20.0285799+03:00","31252","0","37700","11648","False","True"
"2026-09-19T18:12:21.0970858+03:00","31219","0","37700","11636","False","True"
"2026-09-19T18:12:22.1553489+03:00","20770","0","37677","11636","False","True"
"2026-09-19T18:12:23.2093159+03:00","20640","0","37677","11563","False","True"
"2026-09-19T18:12:24.2385168+03:00","21334","0","37666","11563","False","True"
"2026-09-19T18:12:25.2943971+03:00","21474","0","37666","11639","False","True"
"2026-09-19T18:12:26.3567258+03:00","20531","0","37654","11639","False","True"
"2026-09-19T18:12:27.4212860+03:00","20505","0","37654","11624","False","True"
"2026-09-19T18:12:28.4654573+03:00","20667","0","37643","11624","False","True"
"2026-09-19T18:12:29.5212968+03:00","20598","0","37643","11585","False","True"
"2026-09-19T18:12:30.5445302+03:00","20598","0","37643","11585","False","True"
"2026-09-19T18:12:31.6017281+03:00","20507","0","37631","11625","False","True"
"2026-09-19T18:12:32.6502357+03:00","20507","0","37631","11625","False","True"
"2026-09-19T18:12:33.6822167+03:00","26148","0","37620","11534","False","True"
"2026-09-19T18:12:34.7575655+03:00","26148","0","37620","11534","False","True"
"2026-09-19T18:12:35.8002118+03:00","22630","0","37597","11534","False","True"
"2026-09-19T18:12:36.8564017+03:00","22239","0","37597","11335","False","True"
"2026-09-19T18:12:37.9165171+03:00","21162","0","37586","11335","False","True"
"2026-09-19T18:12:38.9708126+03:00","21719","0","37586","11633","False","True"
"2026-09-19T18:12:40.0053894+03:00","20637","0","37574","11633","False","True"
"2026-09-19T18:12:41.0586168+03:00","20591","0","37574","11607","False","True"
"2026-09-19T18:12:42.1194765+03:00","21276","0","37563","11607","False","True"
"2026-09-19T18:12:43.1754810+03:00","21314","0","37563","11628","False","True"
"2026-09-19T18:12:44.2427021+03:00","27698","0","37552","11628","False","True"
"2026-09-19T18:12:45.2680350+03:00","27698","0","37552","11628","False","True"
"2026-09-19T18:12:46.2893924+03:00","27462","0","37552","11529","False","True"
"2026-09-19T18:12:47.3173050+03:00","21144","0","37529","11529","False","True"
"2026-09-19T18:12:48.3551249+03:00","21175","0","37529","11546","False","True"
"2026-09-19T18:12:49.3916883+03:00","22445","0","37517","11546","False","True"
"2026-09-19T18:12:50.4274072+03:00","22593","0","37517","11622","False","True"
"2026-09-19T18:12:51.4508444+03:00","21524","0","37506","11622","False","True"
"2026-09-19T18:12:52.4709012+03:00","21509","0","37506","11614","False","True"
"2026-09-19T18:12:53.5098692+03:00","20429","0","37495","11614","False","True"
"2026-09-19T18:12:54.5179643+03:00","20452","0","37495","11627","False","True"
"2026-09-19T18:12:55.5369652+03:00","25184","0","37495","11627","False","True"
"2026-09-19T18:12:56.5636437+03:00","25169","0","37483","11620","False","True"
"2026-09-19T18:12:57.5885080+03:00","25169","0","37483","11620","False","True"
"2026-09-19T18:12:58.6095978+03:00","20398","0","37472","11623","False","True"
"2026-09-19T18:12:59.6165410+03:00","20398","0","37472","11623","False","True"
"2026-09-19T18:13:00.6408234+03:00","21390","0","37460","11625","False","True"
"2026-09-19T18:13:01.6654019+03:00","21390","0","37460","11625","False","True"
"2026-09-19T18:13:02.6836081+03:00","20216","0","37438","11625","False","True"
"2026-09-19T18:13:03.7204039+03:00","20183","0","37438","11606","False","True"
"2026-09-19T18:13:04.7603460+03:00","20473","0","37426","11606","False","True"
"2026-09-19T18:13:05.8151176+03:00","20484","0","37426","11612","False","True"
"2026-09-19T18:13:06.8355942+03:00","20484","0","37426","11612","False","True"
"2026-09-19T18:13:07.8684615+03:00","27567","0","37415","11612","False","True"
"2026-09-19T18:13:08.9005610+03:00","27538","0","37415","11600","False","True"
"2026-09-19T18:13:09.9290248+03:00","20938","0","37403","11600","False","True"
"2026-09-19T18:13:10.9497686+03:00","20961","0","37403","11613","False","True"
"2026-09-19T18:13:11.9692959+03:00","20404","0","37392","11613","False","True"
"2026-09-19T18:13:12.9962059+03:00","20311","0","37392","11560","False","True"
"2026-09-19T18:13:14.0211834+03:00","20299","0","37381","11560","False","True"
"2026-09-19T18:13:15.0416766+03:00","20392","0","37381","11613","False","True"
"2026-09-19T18:13:16.0583004+03:00","22820","0","37381","11613","False","True"
"2026-09-19T18:13:17.0851982+03:00","22749","0","37369","11577","False","True"
"2026-09-19T18:13:18.1082261+03:00","22749","0","37369","11577","False","True"
"2026-09-19T18:13:19.1382258+03:00","20357","0","37346","11573","False","True"
"2026-09-19T18:13:20.1399135+03:00","20357","0","37346","11573","False","True"
"2026-09-19T18:13:21.1667735+03:00","20429","0","37346","11601","False","True"
"2026-09-19T18:13:22.1826618+03:00","20429","0","37346","11601","False","True"
